Annotation/Divergence	AB425_SB139.M (1348270.0 total)	AB426_SB139.M (919032.0 total)	AB427_SB139.M (1076940.0 total)	AB428_SB139.M (1045155.0 total)	AB429_SB139.M (1152020.0 total)	AB430_SB139.M (1353472.0 total)	AB431_SB139.M (984314.0 total)	AB432_SB139.M (1095253.0 total)
Mtfp1|1700020C11Rik|2610507A21Rik|AV005788|Mtp18|-|11|11 A1|protein-coding	20	15	32	29	24	30	29	32
Skint4|9530098N22Rik|-|4|4 D1|protein-coding	0	0	0	0	0	0	0	0
Gh|Gh1|Ghb1|-|11 E1|11 68.89 cM|protein-coding	0	0	0	0	0	0	0	0
Srrd|2810002G02Rik|Srr1|-|5|5 F|protein-coding	7	5	6	7	7	3	5	5
Fmn1|Fmn|formin-1|ld|-|2 E4|2 57.3 cM|protein-coding	11	9	12	6	7	4	11	6
Cdr2l|D030068L24Rik|Gm21|-|11|11 E2|protein-coding	22	10	6	6	12	8	7	3
Unc79|9030205A07Rik|Mlca3|-|12|12 E|protein-coding	0	0	0	1	0	0	0	0
Trpt1|AU079016|AW045591|Tpt1|Tpt1h|-|19|19 A|protein-coding	9	3	4	2	5	4	9	7
2310068J16Rik|-|-|15|15 F1|ncRNA	3	1	1	1	0	2	1	3
Mcpt8|BB139338|MMCP-8|-|14 C3|14 28.19 cM|protein-coding	1	1	0	0	1	0	0	0
Cxcl17|VCC-1|Vcc1|-|7|7 A3|protein-coding	0	0	0	0	0	0	0	0
Atp6v1c2|1110038G14Rik|-|12|12 A1.1|protein-coding	0	0	0	0	0	0	0	0
Pkdrej|-|-|15|15 E2|protein-coding	0	0	0	0	0	0	0	0
Olfr975|MOR224-2|-|9|9 A5.1|protein-coding	0	0	0	0	0	0	0	0
Sfxn1|2810002O05Rik|A930015P12Rik|f|-|13 B1|13 28.4 cM|protein-coding	45	34	51	39	61	48	41	44
Rnf122|1110063C11Rik|-|8|8 A3|protein-coding	2	3	1	1	0	1	1	5
Cryl1|1110025H08Rik|A230106J09Rik|C85932|gul3dh|-|14 C3|14 30.1 cM|protein-coding	10	8	8	12	12	19	10	11
6530402F18Rik|mKIAA1857|-|2|2 B|ncRNA	0	1	0	0	0	4	1	2
Zfyve9|Madhip|NSP|SARA|SMADIP|-|4|4 C7|protein-coding	8	5	7	6	0	3	10	7
Pofut1|O-FucT-1|mKIAA0180|-|2|2 H1|protein-coding	16	12	12	12	12	11	12	15
Gdpd4|4921513O04|-|7|7 E1|protein-coding	0	0	0	0	0	0	0	0
Gm3417|-|-|17|17 A2|protein-coding	0	0	0	0	0	0	0	0
Rnf152|A930029B02Rik|-|1|1 E2.1|protein-coding	20	7	14	17	9	13	18	16
Vmn1r185|V1re12|-|7|7 A3|protein-coding	0	0	0	0	0	0	0	0
Arhgap4|A130009C12Rik|A530015A20Rik|Rgc1|c1|mKIAA0131|-|X|X A7.3|protein-coding	0	0	0	0	1	1	0	1
Antxr2|2310046B19Rik|AW561899|CMG-2|CMG2|cI-35|-|5|5 E3|protein-coding	14	12	7	19	15	18	3	10
Cenpj|4932437H03Rik|CPAP|Gm81|LAP|LIP1|Sas4|-|14|14 C3|protein-coding	11	10	2	3	5	9	3	4
Mir7072|Gm27665|mmu-mir-7072|-|8|8 C5|ncRNA	0	0	0	0	0	0	0	0
Olfr1065|MOR190-1|-|2|2 D|protein-coding	0	0	0	0	0	0	0	0
Adpgk|2610017G09Rik|Adp-gk|C77577|-|9|9 B|protein-coding	28	22	39	23	34	45	33	31
Atp8b3|1700042F02Rik|1700056N23Rik|ATPIK|SAPLT|-|10|10 C1|protein-coding	0	1	1	0	0	0	0	0
Gm10147|ENSMUSG00000064334|-|X A3.1|X|protein-coding	0	0	0	0	0	0	0	0
Uba1y|A1s9Y-1|Sby|Ube-2|Ube1ay|Ube1y|Ube1y-1|Ube1y1|-|Y|Y A1|protein-coding	0	0	0	0	0	0	0	0
Lsm4|-|-|8|8 B3.3|protein-coding	381	231	311	312	386	409	278	322
Dnah8|ATPase|Dnahc8|Hst6.7b|P1-Loop|-|17|17 A3.3|protein-coding	0	0	0	0	0	0	0	0
Eda|EDA1|Ed1|Eda-A1|Eda-A2|HED|Ta|Tnlg7c|XLHED|tabby|-|X C3|X 43.59 cM|protein-coding	1	0	1	1	1	4	2	4
4930515G16Rik|-|-|6|6 C1|pseudo	0	0	0	0	0	0	0	0
Sp7|6430578P22Rik|C22|Osx|-|15|15 F3|protein-coding	0	0	0	0	0	0	0	0
BB283400|BF465573|Rncr4|-|6|6 A3.3|ncRNA	0	0	0	0	0	0	0	0
Car7|AV343731|Ca7|-|8|8 D3|protein-coding	1	1	2	2	1	4	0	2
Med9|BC019367|Med25|-|11|11 B1.3|protein-coding	111	62	78	76	97	93	61	82
Mir7k|Gm27814|Mirlet7k|mmu-let-7k|-|5|5 G3|ncRNA	0	0	0	0	0	0	0	0
Gm694|-|-|4|4 D3|protein-coding	0	0	0	0	0	0	0	0
Vmn2r54|EG666085|Gm1496|Gm470|-|7 A1|7|protein-coding	0	0	0	0	0	0	0	0
Eef1e1|1110003A02Rik|-|13|13 A3.3|protein-coding	14	11	9	8	11	16	12	15
Siah2|AA415433|Sinh2|-|3 D|3 28.68 cM|protein-coding	4	0	0	3	2	2	1	3
Tuba3b|M[a]7|Tuba7|-|6|6 G3|protein-coding	0	0	0	0	0	0	0	0
Ptprk|AI853699|PTPk|RPTPkappa|-|10 A4|10 15.06 cM|protein-coding	29	24	15	21	14	20	18	31
Psen2|ALG-3|Ad4h|Alg3|PS-2|PS2|Psnl2|STM2|-|1 H4|1 84.19 cM|protein-coding	37	21	30	30	47	43	26	24
Ms4a15|E530011F12Rik|Gm1286|-|19|19 A|protein-coding	0	0	0	0	0	0	0	0
Sult2a7|EG638251|Gm7231|-|7|7 A1|protein-coding	0	0	0	0	0	0	0	0
Mchr1|AW049955|Gpr24|Mch1r|-|15|15 E1|protein-coding	0	0	0	0	1	0	0	0
Sry|Tdf|Tdy|-|Y|Y A1|protein-coding	0	0	0	0	0	0	0	0
Mir6399|Gm27667|mir-6399|mmu-mir-6399|-|4|4 D3|ncRNA	0	0	0	0	0	0	0	0
Ccdc162|5033413D22Rik|Ccdc162p|Gm29096|Gm61|Gm6976|-|10|10 B2|protein-coding	26	15	23	18	27	24	26	19
4930542C21Rik|-|-|16|16 B3|ncRNA	0	0	0	0	0	0	0	0
Zfp131|2610109I01Rik|AW558871|Znf131|-|13|13 D2.3|protein-coding	9	8	13	1	8	10	9	12
Olfr1259|MOR232-9|-|2|2 E1|protein-coding	0	0	0	0	0	0	0	0
Hnrnpc|AL022939|D14Wsu171e|Hnrpc|Hnrpc1|Hnrpc2|hnRNPC1|hnRNPC2|hnrnp-C|-|14 C2|14 26.79 cM|protein-coding	107	62	87	92	103	124	96	109
Ctu2|2310061F22Rik|C16orf84|Ncs2|-|8|8 E1|protein-coding	10	6	8	3	14	6	7	5
4933440J02Rik|-|-|10|10 D1|ncRNA	0	0	0	0	0	0	0	0
Slc25a12|2610002D09Rik|AI839531|B230107K20Rik|BB129864|-|2|2 C2|protein-coding	132	77	153	122	111	145	109	123
Tdrd7|5730495N10Rik|AI447470|PCTAIRE2BP|-|4|4 B1|protein-coding	33	16	10	12	24	14	13	21
Tuba4a|M[a]4|Tuba4|-|1|1 C4|protein-coding	184	125	147	179	166	207	148	192
Smc5|MLZ-453|SMC-5|Smc5l1|mKIAA0594|mSMC5|-|19|19 B|protein-coding	9	7	8	10	8	7	12	7
Trpc4ap|4833429F06Rik|D2Ertd113e|Trrp4ap|mFLJ00177|truss|-|2 H1|2 77.26 cM|protein-coding	94	69	53	68	90	83	54	63
Mzf1|Mzf-2|Mzf2|Zfp121|Zfp98|Znf42|-|7 A1|7 7.73 cM|protein-coding	3	1	2	1	7	6	0	7
Etfbkmt|4833442J19Rik|AI256744|ETFB-KMT|Mettl20|-|6|6 G3|protein-coding	8	6	6	13	11	9	10	9
A730036I17Rik|-|-|2|2 F1|ncRNA	0	0	0	0	0	0	0	0
Pkm|AA414905|AL024370|AL024424|Pk-2|Pk-3|Pk3|Pkm2|-|9 B|9 32.03 cM|protein-coding	6360	3936	4713	4843	4707	6188	4262	4932
Olfr263|GA_x5J8B7TTCWC-858-415|IA3|MOR256-31|MOR256-37P|MOR256-61|Olfr263-ps1|Olfr42|-|13|13 A2|protein-coding	0	0	0	0	0	0	0	0
Vangl1|Kitenin|Lpp2|Stb2|Stbm|-|3|3 F2.2|protein-coding	21	9	11	8	9	14	11	10
Yars2|2210023C10Rik|tyrRS|-|16|16 A2|protein-coding	8	4	6	7	5	5	7	4
Xlr4c|2900036K24Rik|-|X|X A7.3|protein-coding	0	0	0	0	0	0	0	0
Gm1821|-|-|14|14 C1|pseudo	1001	567	731	602	810	931	661	714
Tenm4|Doc4|ELM2|Odz4|R75022|Ten-m4|l(7)-3Rn|l7Rn3|mKIAA1302|-|7 E1|7 52.53 cM|protein-coding	36	22	28	33	21	22	9	15
1700003E16Rik|AU041756|-|6|6 C3|protein-coding	47	25	21	36	35	44	28	33
Defb38|BD-38|-|8|8 A1.3|protein-coding	0	0	0	0	0	0	0	0
Mir669h|Mirn669h|mir-669h|mmu-mir-669h|-|2 A1|2 8.22 cM|ncRNA	0	0	0	0	0	0	0	0
A630010A05Rik|-|-|16|16 A1|ncRNA	0	0	0	0	0	0	0	0
Dcpp1|BC005655|C86550|Dcpp|Dcpp-1|p20|-|17 A3.3|17 12.11 cM|protein-coding	0	0	0	0	0	0	0	0
Ireb2|D9Ertd85e|Irp2|-|9 B|9 29.81 cM|protein-coding	27	22	16	27	37	21	16	11
Tlr5|-|-|1 H5|1 86.12 cM|protein-coding	0	0	0	0	0	0	0	0
Hist2h3c2|H3-614|H3.2-614|Hist2h3c2-ps|Hist2h3ca1|M32461|-|3|3 F2.1|protein-coding	1	0	0	0	1	3	0	1
4930503H13Rik|-|-|X|X F4|pseudo	0	0	0	0	0	0	0	0
Ipp|D4Jhu8|Mipp|-|4 D1|4 53.2 cM|protein-coding	9	8	8	8	14	12	6	11
Slc2a1|Glut-1|Glut1|-|4 D2.1|4 55.34 cM|protein-coding	452	296	251	253	326	467	220	298
Henmt1|4921515J06Rik|Hen1|mHEN1|-|3|3 F3|protein-coding	0	0	0	2	0	2	1	0
Gm13287|OTTMUSG00000011285|-|4 C4|4|protein-coding	0	0	0	0	0	0	0	0
Lsm8|2010003I05Rik|AW214405|Naa38|-|6|6 A2|protein-coding	43	40	31	29	30	34	27	37
Phf12|2410142K10Rik|F630045O13|PF1|mKIAA1523|-|11|11 B5|protein-coding	10	6	9	13	9	15	11	5
Olfr1105|MOR0-6P|MOR172-7|-|2|2 D|protein-coding	0	0	0	0	0	0	0	0
Nox1|GP91-2|MOX1|NOH-1|NOH1|NOX1a|NOX1alpha|Nox-1|-|X 55.69 cM|X E3|protein-coding	0	0	0	0	0	0	0	0
Orc1|AA545195|MmORC1|Orc1l|-|4|4 C7|protein-coding	1	1	1	0	1	0	1	0
H2afb1|1700113O17Rik|H2A.Bbd|H2al2|TSEG-1|Tseg1|-|2|2 A3|protein-coding	0	0	0	0	0	0	0	0
Thoc2|6330441O12Rik|D130005M13Rik|Gm1139|Gm1793|Tho2|-|X|X A4|protein-coding	13	2	5	5	9	7	7	7
Gm436|-|-|4|4 E1|protein-coding	0	0	0	0	0	0	0	0
Gm5087|C630025C03|EG328354|-|14 A1|14|ncRNA	0	0	0	0	0	0	0	0
Krt27|CK-27|Krt1-c29|mIRSa3.1|stpm|-|11 D|11 62.92 cM|protein-coding	0	0	0	0	0	0	0	0
Alg12|ECM39|-|15|15 E3|protein-coding	9	6	7	7	4	5	3	9
Muc6|-|-|7 F5|7 87.03 cM|protein-coding	0	0	0	0	0	0	0	0
Nek6|1300007C09Rik|-|2 B|2 24.41 cM|protein-coding	347	237	247	275	309	368	260	333
Zfp64|-|-|2 H3|2 88.99 cM|protein-coding	19	8	6	11	14	14	8	12
Trp53tg5|1700126L10Rik|-|2|2 H3|protein-coding	0	0	0	0	0	0	0	0
4930524O05Rik|-|-|19|19 A|ncRNA	0	0	0	0	0	0	0	0
Nf2|merlin|-|11 A1|11 3.0 cM|protein-coding	89	63	79	70	84	101	95	79
Cebpe|C/EBPe|CRP1|Gm294|-|14 C2|14 27.9 cM|protein-coding	1	0	0	0	0	0	0	1
Gm1587|-|-|14|14 D3|protein-coding	0	0	0	0	0	0	0	0
Xrcc1|Xrcc-1|-|7 A3|7 11.42 cM|protein-coding	20	11	25	20	27	21	24	22
Gm14057|OTTMUSG00000015563|-|2 F1|2|pseudo	2	2	1	0	0	2	1	2
Galnt2|AI480629|-|8|8 E2|protein-coding	130	77	81	80	94	113	80	86
Capn9|2200003B16Rik|GC36|nCL-4|nCL4|-|8|8 E2|protein-coding	0	0	0	0	1	0	0	0
Nphs2|PDCN|SRN1|-|1|1 G3|protein-coding	0	0	0	0	0	0	0	0
Fam166a|4931415M17|-|2|2 A3|protein-coding	0	0	1	0	0	1	0	1
Megf10|3000002B06Rik|Gm331|-|18|18 D3|protein-coding	1	0	0	0	0	0	0	0
A330023F24Rik|C030002C11Rik|-|1|1 H6|ncRNA	3	2	1	2	0	4	6	5
Mir30c-1|Mirn30c|Mirn30c-1|mir-30c-1|-|4|4 D2.2|ncRNA	0	0	0	0	0	0	0	0
Pou2af1|BOB.1|Bob-1|Bob1|OBF-1|OBF.1|OCA-B|OCAB|-|9|9 A5.3|protein-coding	0	0	0	0	0	1	0	0
Vmn1r123|Gm1446|-|7|7 A3|protein-coding	0	0	0	0	0	0	0	0
Bcl2|AW986256|Bcl-2|C430015F12Rik|D630044D05Rik|D830018M01Rik|-|1 E2.1|1 49.76 cM|protein-coding	41	15	17	21	36	30	15	14
Zfp772|-|-|7|7 A1|protein-coding	4	4	6	2	3	7	4	3
Nat8f1|1110002I11Rik|AI266962|Cml1|-|6|6 C3|protein-coding	53	32	45	42	46	59	43	51
4930412C18Rik|5730591J02Rik|-|4|4 A1|ncRNA	1	1	1	5	1	1	2	3
Abca1|ABC-1|Abc1|-|4 B2|4 28.57 cM|protein-coding	84	52	41	46	25	50	40	40
Mphosph8|1500035L22Rik|4930548G07Rik|AU040635|-|14|14 C3|protein-coding	60	41	56	46	53	62	49	41
Cers2|0610013I17Rik|AI225939|Lass2|TRH3|-|3|3 F2.1|protein-coding	366	255	346	300	340	410	316	338
Il23r|IL-23R|-|6|6 C1|protein-coding	0	1	1	0	0	0	0	0
Napa|1500039N14Rik|AW209189|RA81|SNAPA|SNARE|a-SNAP|hyh|-|7 A2|7 8.74 cM|protein-coding	490	287	395	335	419	493	387	393
Ntmt1|2610205E22Rik|AL033331|AL033332|Mettl11a|NTM1A|-|2|2 B|protein-coding	104	67	72	84	81	99	91	81
Irgm2|AI481100|GTPI|Ifggd2|Iigp2|-|11|11 B1.3|protein-coding	229	238	1	3	293	305	7	6
Ddx39b|0610030D10Rik|AI428441|Bat-1|Bat1|Bat1a|D17H6S81E|D17H6S81E-1|D6S81Eh|-|17 B1|17 18.6 cM|protein-coding	117	74	125	88	104	128	86	104
Cadm4|Igdf4c|Igsf4c|Tsll2|-|7|7 A3|protein-coding	14	12	7	9	17	12	17	15
Tob2|2900090N22Rik|4930545K18Rik|AV071822|mKIAA1663|-|15|15 E1|protein-coding	14	6	5	8	9	13	7	4
Arpc5|5830443F10Rik|p16-Arc|-|1|1 G3|protein-coding	282	193	192	184	211	230	184	232
Irf5|AW491843|mirf5|-|6 A3.3|6 12.36 cM|protein-coding	11	8	4	1	9	11	5	5
Bsdc1|1110063F24Rik|AW011758|-|4|4 D2.2|protein-coding	24	17	19	21	21	17	13	23
Vnn3|-|-|10|10 A4|protein-coding	0	0	0	0	0	0	0	0
Chad|SLRR4A|-|11 D|11 58.9 cM|protein-coding	0	0	0	0	0	0	0	0
Naa38|1500034E06Rik|Lsmd1|-|11 B3|11|protein-coding	431	255	364	321	352	398	316	306
Pitx3|Ptx3|ak|-|19 C3|19 38.75 cM|protein-coding	0	0	0	0	0	0	0	0
Olfr332|MOR284-2|-|11|11 B1.3|protein-coding	0	0	0	0	0	0	0	0
4933400B14Rik|-|-|17|17 E5|ncRNA	0	0	0	0	0	0	0	0
Nckap5|8430408F21|D130011D22Rik|E030049G20Rik|Erih1|Erih2|Gm1548|Nap5|-|1|1 E3|protein-coding	2	2	1	0	0	0	1	0
4930500L23Rik|-|-|5|5 G2|ncRNA	0	0	0	0	0	0	0	0
Enpp3|AI876438|CD203c|-|10|10 A4|protein-coding	0	0	0	0	0	0	0	0
1700099I09Rik|-|-|13|13 D1|ncRNA	0	0	0	0	0	0	0	0
Grn|Pgrn|epithelin|-|11 D|11 66.29 cM|protein-coding	243	153	113	118	234	225	118	167
Aaas|AAA|ADRACALA|D030041N15Rik|GL003|-|15|15 F3|protein-coding	33	20	23	24	19	25	31	26
Pspn|PSP|-|17|17 D|protein-coding	0	0	0	0	0	0	0	0
Btnl5-ps|Btnl5|ENSMUSG00000073420|Gm15330|NG12|OTTMUSG00000020237|-|17 B1|17 18.08 cM|pseudo	0	0	0	0	0	0	0	0
Lcn11|Gm109|-|2|2 A3|protein-coding	0	0	0	0	0	0	0	0
Ptp4a1|AA415290|AU019864|C130021B01|Prl-1|-|1|1 A5-B|protein-coding	14	17	5	17	11	8	9	9
Pcdha9|-|-|18|18 B2-B3|protein-coding	41	20	37	41	30	38	33	36
Lrig3|9030421L11Rik|9130004I02Rik|9430095K15Rik|mKIAA3016|-|10|10 D3|protein-coding	1	2	3	1	1	1	2	1
Prkg2|AW212535|CGKII|Prkgr2|cGK-II|-|5 E3|5 48.35 cM|protein-coding	1	0	0	1	0	0	0	0
Zfyve27|2210011N02Rik|9530077C24Rik|AI426636|AI593546|AI835681|-|19|19 C3|protein-coding	46	28	33	45	61	68	42	53
Lbx2|Lbx2h|-|6 C3|6 35.94 cM|protein-coding	4	3	5	4	0	1	1	2
Stfa1|Stefin-3|Stf-3|Stf1|Stf3|Stfa3|-|16 B3|16 25.45 cM|protein-coding	0	0	0	0	0	0	0	0
Mea1|Mea-1|-|17 C|17 22.9 cM|protein-coding	304	195	249	218	247	321	190	242
Mrpl22|E030011D16Rik|HSPC158|MRP-L25|Rpml25|-|11|11 B1.3|protein-coding	56	18	37	25	40	37	28	33
Apool|6720473G16Rik|9430083G14Rik|E130106L15Rik|-|X|X E1|protein-coding	39	27	49	39	26	42	40	45
Gm5114|4921507A12|EG330513|-|7 B3|7|protein-coding	0	0	0	0	0	0	0	0
4930579J19Rik|-|-|13|13 A3.3|ncRNA	0	0	0	0	0	0	0	0
Dnajc15|1110003P16Rik|Dnajd1|-|14|14 D3|protein-coding	273	135	215	155	184	194	149	146
Spint1|HAI-1|-|2|2 E5|protein-coding	12	3	9	6	8	18	12	11
Serpinb7|4631416M05Rik|megsin|ovalbumin|-|1|1 E2.1|protein-coding	0	0	0	0	0	0	0	0
Vmn1r91|EG667067|Gm8442|-|7|7 A3|protein-coding	0	0	0	0	0	0	0	0
Bpifb3|Lplunc3|Rya3|-|2|2 H1|protein-coding	0	0	0	0	0	0	0	0
Wipi1|4930533H01Rik|AW411817|D11Ertd498e|-|11 E1|11 72.18 cM|protein-coding	33	27	28	31	25	34	31	18
1700108F19Rik|1700020I02Rik|BB065030|-|14|14 D3|ncRNA	0	0	0	0	0	0	0	0
Gpr162|A-2|BC031437|Grca|-|6 F2|6 59.17 cM|protein-coding	1	0	1	0	0	0	0	1
Gabra1|Gabra-1|-|11 A5|11 24.97 cM|protein-coding	0	0	0	0	0	0	0	0
Tert|EST2|TCS1|TP2|TR|TRT|-|13 C1|13 40.12 cM|protein-coding	0	0	0	0	0	0	0	0
Vmn2r68|EG620697|Vmn2r68-ps|-|7|7 D3|protein-coding	0	0	0	0	0	0	0	0
Lig3|D11Wsu78e|-|11 C|11 50.23 cM|protein-coding	14	11	9	10	9	13	8	10
Mir1982|mir-1982|mmu-mir-1982|-|10 C1|10 39.72 cM|ncRNA	0	3	4	2	1	1	2	3
Akap8l|HAP95|Nakap95|-|17|17 B1|protein-coding	27	16	36	32	32	42	32	36
Gstp1|GstpiB|-|19 A|19 3.75 cM|protein-coding	43	38	26	35	31	31	29	38
Vmn1r38|V1rc13|-|6|6 C1|protein-coding	0	0	0	0	0	0	0	0
Trib1|A530090O15Rik|TRB-1|Trb1|-|15|15 D1|protein-coding	19	6	4	5	5	14	5	7
Ces2c|ACH M1|CES 2|Ces2|ces2A3|-|8|8 D3|protein-coding	0	0	0	0	0	0	0	0
Gm3434|-|-|9 A4|9|ncRNA	0	0	0	0	0	0	0	0
2210409E12Rik|AU021711|C76890|OTTMUSG00000001303|-|11|11 C|pseudo	0	0	0	0	0	0	0	0
Dmrtc1c2|-|-|X|X D|protein-coding	0	0	0	0	0	0	0	0
Lce1b|1110029C13Rik|Sprrl5|-|3|3 F1|protein-coding	0	0	0	0	0	0	0	0
Tmem44|1700007N03Rik|9330161C17Rik|B230220N21|-|16|16 B2|protein-coding	0	0	1	2	0	1	0	1
Lmod1|9530015K06Rik|SM-Lmod|-|1|1 E4|protein-coding	16	10	9	9	7	18	6	9
Lrrcc1|1200008A14Rik|4932441F23Rik|AI195358|AI447421|-|3|3 A1|protein-coding	5	2	0	4	5	5	2	1
Cnih4|AI647760|AW050376|CNIH-4|D530030D03Rik|E430023H19Rik|HSPC163|-|1|1 H4|protein-coding	156	107	110	105	111	123	106	123
Lce1d|2310037L11Rik|AI415320|Sprrl7|-|3|3 F1|protein-coding	0	0	0	0	0	0	0	0
Prpsap1|5730409F23Rik|PAP39|-|11|11 E2|protein-coding	137	89	120	120	153	153	106	112
Angel1|1110030H02Rik|mKIAA0759|-|12|12 D2|protein-coding	3	7	0	2	3	0	3	3
1700021N21Rik|-|-|4|4 D3|ncRNA	0	0	0	0	0	0	0	0
Gm11538|OTTMUSG00000001983|-|11|11 D|ncRNA	0	0	0	0	0	0	0	0
Ddx23|3110082M05Rik|4921506D17Rik|-|15|15 F1|protein-coding	0	2	0	0	0	1	0	0
Hsh2d|ALX|Hsh2|-|8|8 B3.3|protein-coding	0	0	0	0	1	0	0	0
Styk1|9130025L13|AI326477|Nok|-|6|6 F3|protein-coding	0	1	2	0	3	2	0	2
Gm715|-|-|X|X A6|protein-coding	0	0	0	0	0	0	0	0
Scrt1|-|-|15|15 D3|protein-coding	0	0	0	0	0	0	0	0
Ndst3|4921531K01Rik|4930511P15Rik|N-HSST 3|NDST-3|-|3|3 G1|protein-coding	0	0	0	0	0	0	0	0
Hnrnpm|2610023M21Rik|AA409009|Hnrpm|mKIAA4193|-|17|17 B1|protein-coding	60	29	32	34	40	53	43	43
Tfrc|2610028K12Rik|CD71|E430033M20Rik|Mtvr1|TFR|TFR1|TR|Trfr|p90|-|16 B3|16 23.06 cM|protein-coding	4	12	5	3	2	8	3	5
Sardh|-|-|2|2 A3|protein-coding	12	9	10	10	12	18	12	17
Napb|Brp14|E161|I47|SNARE|b-SNAP|-|2|2 G3|protein-coding	3	0	2	1	2	1	1	1
Lekr1|EG546798|EG624866|Gm6534|-|3|3 E1|protein-coding	10	8	12	4	5	11	8	6
Ripk4|2310069J12Rik|AI552420|ANKK2|Ankrd3|DIk|PKK|RIP4|-|16|16 C4|protein-coding	22	11	18	16	14	12	13	17
Dus1l|1110032N12Rik|-|11|11 E2|protein-coding	29	25	33	18	35	39	21	28
1700021F05Rik|-|-|10|10 B2|protein-coding	42	30	28	20	28	42	23	21
Hes6|AI326893|bHLHb41|-|1|1 D|protein-coding	172	90	169	137	176	216	172	206
Otud6a|EG408193|Hshin6|-|X C3|X|protein-coding	0	0	0	0	0	0	0	0
Irx5|-|-|8 C5|8 44.93 cM|protein-coding	1	1	1	3	1	2	1	1
Kcnk6|D7Ertd764e|Toss|Twik2|-|7 B1|7 16.94 cM|protein-coding	0	0	0	0	0	1	0	0
Nr0b1|AHX|Ahc|Ahch|DAX-1|Dax1|-|X C1|X 39.67 cM|protein-coding	0	0	0	0	0	0	0	0
Ndfip1|0610010M22Rik|N4wbp5|-|18|18 B3|protein-coding	18	19	24	14	14	26	14	23
Hes1|Hry|bHLHb39|-|16 B2|16 21.09 cM|protein-coding	8	6	3	6	7	7	4	9
C130079G13Rik|-|-|3|3 D|protein-coding	0	0	0	0	0	0	0	0
Mir7045|Gm27758|mmu-mir-7045|-|6|6 F2|ncRNA	0	0	0	0	0	1	0	1
Crp|AI255847|-|1 H3|1 80.13 cM|protein-coding	0	0	0	0	0	0	0	0
Ttll12|BC055368|D430005B17|-|15|15 E1|protein-coding	50	41	31	40	39	50	36	38
Habp4|4933413D03Rik|4933428J01Rik|-|13 B3|13 33.26 cM|protein-coding	46	17	43	34	42	43	37	48
Rsl1d1|2410005K20Rik|C76439|pBK1|-|16|16 A1|protein-coding	108	88	92	91	93	100	63	84
Slc25a30|4933433D23Rik|AV025504|AV221431|AW319655|KMCP1|-|14|14 D3|protein-coding	0	0	0	0	0	0	0	0
Zfyve19|1500041L05Rik|ANCHR|-|2|2 E5|protein-coding	18	13	25	21	16	23	20	20
Adcyap1|PACAP|-|17|17 E5|protein-coding	0	0	0	0	0	0	0	0
Fam213b|2810405K02Rik|AI836168|PM/PGFS|-|4|4 E2|protein-coding	28	17	21	17	30	25	25	28
Gm21541|-|-|4 A5|4|protein-coding	0	0	0	0	0	0	0	0
Krtap16-3|5430404J20Rik|Krtap16-10|-|16|16 C3.3|protein-coding	0	0	0	0	0	0	0	0
Ccdc50|C3orf6|-|16 B2|16 18.98 cM|protein-coding	35	19	22	17	18	22	13	20
Gm765|-|-|6|6 D3|protein-coding	0	0	0	0	0	0	0	0
Gm10823|ENSMUSG00000075290|-|16 B2|16|ncRNA	0	0	0	0	0	0	0	0
Mir6347|Gm27863|mmu-mir-6347|-|1|1 H2.3|ncRNA	0	0	0	0	0	0	0	0
Mir7230|mmu-mir-7230|-|5|5 F|ncRNA	0	0	0	0	0	0	0	0
Thoc7|Nif3l1bp1|-|14|14 A1|protein-coding	108	52	61	81	67	82	70	71
4930512B01Rik|4930472D12Rik|-|12|12 C2|ncRNA	0	0	0	0	0	0	0	1
Jkamp|1200003C05Rik|2310047L11Rik|Jamp|-|12|12 C3|protein-coding	95	72	91	96	110	110	96	92
Gm9958|ENSMUSG00000054945|-|5 E1|5|ncRNA	0	0	0	0	0	1	0	0
Filip1l|4631422O05Rik|Doc1|-|16|16 C1.1|protein-coding	5	1	4	1	4	6	6	5
Map6|2810411E12Rik|Map-6|Mtap6|STOP|-|7|7 E1|protein-coding	1	0	1	1	3	0	0	0
Ttc36|-|-|9|9 A5.2|protein-coding	1	0	0	0	1	1	0	0
Gphn|5730552E08Rik|AI662856|BC027112|C230040D23|GPH|GPHRYN|geph|-|12|12 C3|protein-coding	15	12	7	17	4	8	7	13
Hs3st1|3-Ost|D5Wsu110e|Hsg3ost|-|5 B3|5 21.14 cM|protein-coding	18	13	22	20	17	29	15	20
Olfr1370|MOR256-14|-|13|13 A2|protein-coding	0	0	0	0	0	0	0	0
Tacr2|Nk2r|Skr|Tac2r|-|10|10 B4|protein-coding	0	0	0	0	0	0	0	0
Ppp1r11|1500041B02Rik|AV117883|Hcgv|Tcte5|Tctex-5|Tctex5|-|17 B1|17 19.16 cM|protein-coding	289	187	258	217	291	313	209	240
Fank1|1700007B22Rik|AI850911|-|7|7 F3|protein-coding	12	10	9	9	12	13	8	6
Snai3|AI643946|Smuc|Zfp293|-|8|8 E1|protein-coding	2	0	3	2	2	1	0	2
Bloc1s3|BC043666|Blos3|E230011O18|rp|-|7 A3|7 9.92 cM|protein-coding	19	11	14	9	14	16	13	17
Wfikkn2|2610304F08Rik|AY100450|Gasp1|WFIKKNRP|-|11|11 D|protein-coding	1	0	0	0	1	0	0	0
